SUBJECT_CUI,OBJECT_CUI
C4726765,C0079744
C0537670,C0349649
C0600370,C0153254
C0031448,C0035597
C1619962,C2585890
C0056519,C0220989
C0032483,C0872054
C1831808,C0026918
C0008273,C0002382
C0011824,C0021670
C0242896,C0349464
C0642228,C2267227
C0002272,C0018799
C2933912,C0041909
C0006949,C0036205
C0027360,C0014121
C0013832,C0018621
C3652612,C0268490
C2604307,C0016053
C4507568,C0004352
C0376261,C0027849
C0007974,C1997322
C0025859,C0024535
C0006246,C0024419
C0007546,C0008049
C0069392,C0022116
C0030956,C0027849
C0770343,C0024586
C0001962,C0751964
C0304604,C0472713
C0014810,C0520767
C0354604,C0034069
C0074769,C1320547
C1120386,C0041321
C0246269,C0041466
C2350656,C0338437
C0040341,C0085631
C0009002,C1263846
C0028156,C0085436
C0718043,C0275979
C0717900,C0343730
C2982078,C0272199
C0030077,C0278678
C0002199,C0034013
C0005525,C0220989
C0065636,C0473527
C0915142,C1142132
C3492889,C0233494
C0753645,C0264115
C1176329,C0035309
C0003158,C0276758
C0025603,C1112486
C0717550,C0237963
C0029994,C0542269
C0599685,C0000814
C0012373,C0023886
C0058415,C0001622
C0030812,C0037317
C0010582,C0339296
C0055819,C0023434
C0915142,C0442874
C3661282,C0039614
C0015011,C0010068
C0071330,C0027849
C0076080,C0040250
C4550368,C0041472
C0014963,C0014553
C1691209,C0595921
C0038742,C0043116
C0383429,C0036341
C0028127,C2267231
C4310440,C0040954
C0025023,C0153579
C0615823,C0276754
C0061323,C0013264
C4044947,C0376358
C0206460,C0549315
C0000981,C0348898
C0043603,C0003467
C0033126,C0039131
C0027329,C1960924
C0058445,C0743332
C5139819,C0149516
C0024730,C0030848
C4519118,C0020630
C0120107,C0456103
C0113293,C0341697
C4043954,C0271093
C0108938,C0030809
C1134659,C0039128
C0076456,C0017168
C0107497,C0457949
C0675175,C0029401
C0527316,C0398650
C0039865,C0085083
C4731850,C0042842
C4519323,C1272017
C0969324,C0007115
C0061851,C0035460
C0001047,C0011636
C0065180,C0001207
C4045501,C0856169
C4079854,C0686510
C0036442,C0242488
C0302210,C1290886
C0048306,C0010068
C1516119,C0031157
C1567753,C0268108
C0008168,C0004626
C0007537,C0023646
C0075007,C0587044
C0028356,C0220989
C0065152,C0024535
C0051607,C0020615
C0060504,C0011880
C0007561,C0020445
C0287041,C0017152
C0040869,C0038218
C0020933,C0020514
C0042402,C1112209
C1956497,C0022104
C0108342,C0023443
C0062103,C0020635
C0043606,C0346993
C0015506,C0235267
C0085542,C0085606
C0907402,C0342731
C0017887,C0010543
C0026388,C0023968
C0011145,C0001957
C0673470,C0733682
C0171302,C0278139
C0038687,C0007787
C0071324,C0278701
C0031184,C0041227
C2045867,C0014488
C0004609,C0027721
C2347624,C0001403
C0033743,C0276228
C0038761,C0563269
C0081876,C0442874
C4524315,C0023434
C0006230,C0237963
C0540776,C3875321
C0055904,C0024110
C0003596,C0012546
C0009214,C0278701
C1956280,C0019348
C1176415,C0031946
C0063584,C0029077
C4542171,C0349790
C0027996,C0679225
C0037663,C0015397
C0108121,C0021311
C4519323,C0264515
C3652644,C0079773
C3657270,C0011630
C4078701,C0948441
C2604307,C0412850
C4542172,C0027819
C0059874,C0034067
C4519194,C1318559
C0663182,C0276089
C0030092,C1112709
C0012010,C0034065
C0053105,C0006444
C0010467,C0850624
C0002164,C0010054
C0041044,C0850149
C0040219,C0233494
C0052752,C0085083
C0527129,C0400966
C0058389,C3875286
C0008241,C0151317
C0071129,C0003873
C0041040,C0154731
C0114875,C0234925
C3659266,C1619734
C0074246,C2215257
C1098510,C0085580
C0005070,C0002792
C1874451,C0019360
C0053526,C0035435
C0037663,C0040264
C0095278,C1261469
C0301374,C0007134
C0016343,C0524909
C0246421,C0398775
C0040975,C1269831
C0002644,C0856169
C4482908,C0342731
C0953467,C2239176
C0015620,C0007138
C0060241,C1260880
C0012381,C0238298
C3864824,C0031511
C0080356,C0003862
C0041942,C0238067
C0003299,C0030759
C3653320,C0006114
C2699709,C0032460
C0015021,C0040261
C0127615,C0020594
C0599685,C2363973
C0011145,C1274228
C4548848,C0042109
C0023870,C0149948
C0009079,C0862889
C4301626,C0013604
C0048897,C0341823
C0282151,C0017605
C4329353,C0025637
C0531104,C2733598
C3536876,C0423234
C0060203,C0600142
C2935436,C1318973
C0038149,C0005747
C0360714,C0003615
C0018988,C0011847
C0006400,C0040262
C0025659,C0004623
C0040867,C1997322
C0525678,C0343532
C0008269,C0342527
C0072916,C0018801
C1172636,C0149893
C0050451,C0262399
C4519213,C0475811
C0041009,C0041466
C0026457,C0021400
C0015689,C1292758
C2825622,C0017205
C0039955,C0024894
C3659266,C1112209
C0048470,C4275067
C0795575,C0001622
C0103045,C0022575
C0666743,C0002874
C0527379,C0867389
C0055467,C0085132
C0025386,C0036330
C0376607,C2349994
C0044401,C0037195
C0360714,C0020461
C0016610,C0153252
C4542175,C0004945
C1136254,C0020594
C0012757,C0040185
C0018312,C0010032
C0008223,C0206525
C0008183,C0398623
C1306772,C0040156
C0016367,C0003615
C1562292,C0242584
C0064585,C0341558
C0008845,C0339932
C2346836,C0035412
C0969589,C0042580
C0042682,C0014547
C3899947,C0011644
C0014479,C2316212
C0042105,C0730607
C0002164,C0010068
C0048808,C0400968
C0121902,C1301363
C1505698,C0231528
C0038689,C0031090
C0074568,C0040558
C3852920,C0577690
C0054094,C0035222
C0060504,C0021141
C0733796,C0271084
C0071143,C0027404
C0025611,C0004364
C0528166,C0271638
C0044410,C0000810
C4475875,C0011882
C0010467,C0153594
C0028902,C1959799
C1169997,C0039685
C0054820,C0206178
C0073983,C0149985
C0042313,C0006846
C0012125,C0020635
C3642427,C0263678
C0021641|3630,C0153256
C1831808,C0007222
C0969589,C0236830
C0040866,C0153289
C0080356,C0004945
C0021658,C5203670
C0538927,C0272230
C0025386,C0011854
C0033487,C0022575
C0877860,C0038220
C0003442,C0272199
C3659310,C0085096
C0065831,C0023269
C0006230,C0149925
C4078312,C0238644
C0965129,C0152486
C0304604,C0017609
C0028126,C0339507
C0963398,C0022575
C2001572,C2936781
