SUBJECT_CUI,OBJECT_CUI
C0043481,C0023443
C4287804,C0520909
C0024476,C0917796
C0031979,C0032308
C0027329,C0278140
C0023566,C1260911
C0000477,C0042164
C0016225,C2584877
C2698448,C0023241
C0019593,C0007193
C0074714,C0002395
C3264621,C1112486
C0052865,C0022577
C0108121,C0151482
C0733758,C0021311
C0031007,C1621958
C1144709,C0235063
C0753183,C0023241
C0072768,C0151970
C0025629,C0747256
C0054234,C0153254
C0006050,C0346976
C0025152,C0014179
C0022059,C0231403
C0005640,C0025637
C0909839,C0242379
C0066139,C0043116
C0013092,C4708695
C1313386,C1868889
C1693912,C0040259
C1567753,C0021359
C0038317,C0013604
C0066101,C0037763
C0040209,C0231403
C3713860,C0263353
C0028978,C3163829
C3491331,C1527407
C0123903,C0270846
C0016374,C0235238
C0063433,C0037354
C0042523,C0035335
C2825622,C0349790
C0030969,C0020503
C0039245,C0152253
C1827106,C0261486
C0677829,C0276754
C0168273,C0001207
C0287983,C0152965
C2000261,C0030758
C4055478,C1623040
C0054820,C0042571
C0017718,C1800706
C0063041,C4721209
C0571665,C1720135
C0596004,C0035243
C0023586,C0341439
C0129975,C0520767
C0010980,C0040517
C0009026,C0153227
C2828245,C0740447
C0055775,C0018099
C0937917,C0039133
C2718773,C0029453
C0753287,C0850149
C0032334,C0878544
C0376261,C0679225
C0116074,C0021116
C0243192,C0155862
C0023610,C0242362
C4056441,C0018022
C3653501,C0085132
C4519740,C1282500
C3885068,C0339170
C0012798,C0005283
C0003166,C4708088
C0016282,C0038013
C4688584,C0020479
C0030899,C0021099
C0386393,C0020428
C0007557,C0005747
C0066418,C0029878
C1299007,C0150055
C0216660,C0002726
C0007541,C0152068
C1675326,C0524688
C0023992,C1096063
C0076653,C0019572
C0873165,C0038325
C0054066,C0339296
C0074774,C0024449
C2827667,C0006666
C0069760,C0272230
C0288672,C0020458
C0000948,C0016167
C1318700,C0010380
C0024472,C0024115
C0012265,C0030590
C1619629,C0027497
C0065180,C0022602
C4045491,C2267231
C3653122,C0024535
C0038880,C0011630
C0061323,C1260899
C0071809,C1275126
C0165312,C0027430
C0031957,C0004604
C0026457,C0275555
C0011785,C0085786
C0020223,C0238452
C0966225,C0035305
C0018242,C0021359
C2745274,C0041473
C1120106,C0023886
C0041031,C0740441
C0109002,C0029443
C1948374,C0020445
C0027302,C3661921
C0657912,C0024440
C4045974,C0018802
C4301236,C0032371
C0076705,C1275687
C1619962,C4721209
C0076110,C0421162
C0070585,C0038013
C0007559,C0153240
C0030812,C0029291
C0085174,C0014742
C0011785,C0023976
C0032483,C0031190
C0005025,C0751122
C0053336,C0021359
C0000473,C0269050
C0772395,C0021099
C0044401,C0011881
