SUBJECT_CUI,OBJECT_CUI
C0053523,C0553580
C0073631,C0221154
C0065295,C1704272
C0058895,C0034734
C0016299,C0334634
C0033228,C0042842
C0030092,C0039520
C0030969,C0017612
C2700226,C0013922
C0016294,C1318559
C0064871,C0343500
C0065152,C0339317
C0025644,C0570328
C0023556,C0025323
C0376541|2056,C0157749
C0287721,C0028754
C2343853,C0458219
C0022154,C1276092
C0029997,C0343532
C0060201,C0152973
C4688747,C0023895
C0961781,C0014553
C2605855,C0023283
C0031411,C0259799
C1260298,C0017168
C3852938,C0023968
C4548369,C1263758
C0066412,C0013882
C0242708,C0343532
C1144403,C0740391
C0002475,C0023440
C0074714,C0002351
C0043047,C0010674
C0025153,C0006114
C0034392,C0153289
C0076080,C0039621
C4079854,C0588233
C4519428,C1261469
C0001040,C0152171
C0065936,C0011848
C0065374,C0220987
C4078312,C1800706
C0027329,C0023443
C0071810,C0005283
C4550350,C3163939
C0048504,C1269683
C0116074,C0034065
C0075429,C0339507
C2933904,C0003492
C0288672,C3163829
C0000956,C0238462
C1705480,C0241910
C0025677,C0024591
C0008221,C0004153
C3657824,C0042510
C0004969,C0393760
C0031978,C0001206
C0085174,C0856695
C1579268,C1827266
C0061863,C0027849
C0107994,C0023281
C0066412,C0042164
C0016327,C0206062
C0771535,C1278807
C0006938,C0270425
C0795575,C0017601
C0005330,C0278152
C0003290,C0010346
C0018312,C0001511
C3652618,C0271693
C0072980,C0022568
C0054340,C0042571
C0052762,C0011269
C0006684,C0751074
C0064113,C0020625
C0074774,C0029408
C0054201,C0011636
C1827106,C0401160
C0521941,C0026987
C0146224,C0272373
C4079805,C0267436
C0041014,C0342634
C0007974,C0741292
C0009214,C0000809
C0009077,C0027796
C0031849,C0027849
C2932486,C0025323
C0213404,C0011269
C0005320,C0156393
C3536880,C0036472
C0937950,C0153256
C4317244,C0020502
C0025625,C0025218
C1831808,C0019243
C0065835,C0019342
C1098261,C0276535
C0072973,C1261256
C0076181,C2711180
C0107994,C0025306
C0018988,C0025289
C0001962,C0005684
C0058056,C0272322
C4694272,C1277187
C0772241,C0153225
C4043954,C0152516
C0055900,C0043208
C0012802,C0457949
C0142971,C0079774
C0043031,C0272286
C0012125,C0741292
C3195420,C0006325
C0013015,C0153303
C0301374,C0035344
C0004499,C0343065
C0006400,C0031069
C0036720,C0017531
C0026088,C0272285
C0531483,C0339573
C1566826,C0856169
C0037494,C1720498
C0009137,C0750197
C0750848,C0005138
C0070570,C0595921
C0077163,C0271561
C0540694,C0027773
C0068980,C0013312
C0571665,C0036330
C0813622,C0029104
C0064987,C0016412
C0391001,C0036341
C0005035,C0409959
C0071836,C0016627
C3489575,C0743332
C0085272,C0151482
C0039468,C0019360
C3885145,C0155860
C0010654,C0340970
C0090306,C0023283
C1693912,C0233523
C0006931,C0259799
C0071649,C0023474
C0937917,C0024143
C2606637,C0041327
C4309207,C0235329
C0045212,C0271568
C3659310,C0151940
C0039245,C0030499
C0002499,C0878773
C0009905,C0343804
C1174995,C0878773
C0018033,C0341503
C0597573,C0021359
C0027368,C0020445
C0070072,C0005138
C3832882,C0423673
C0012050,C0275555
C0034235,C0271650
C1330622,C4722085
C0062106,C1960925
C0081787,C0023886
C0076107,C0032914
C4519229,C0022661
C0008286,C3203547
C0077274,C0151874
C0008405,C0152499
