SUBJECT_CUI,PREDICATE,OBJECT_CUI,frequency,Source,SUBJECT_SEMTYPE,OBJECT_SEMTYPE
C0040395,USES,C1441526,250449.0,SemMedDB,diap,lbpr
C0087111,TREATS,C0030705,169644.0,SemMedDB,topp,"humn,podg"
C0543467,TREATS,C0030705,120524.0,SemMedDB,topp,"humn,podg"
C0728940,TREATS,C0030705,61098.0,SemMedDB,topp,"humn,podg"
C0013216,TREATS,C0030705,48796.0,SemMedDB,topp,"humn,podg"
C0184661,TREATS,C0030705,42851.0,SemMedDB,"hlca,topp","humn,podg"
C0087111,USES,C0013227,40133.0,SemMedDB,topp,phsu
C1510438,USES,C0032520,35126.0,SemMedDB,lbpr,lbpr
C0013227,TREATS,C0030705,34587.0,SemMedDB,phsu,"humn,podg"
C0008972,USES,C0026336,32627.0,SemMedDB,resa,"inpr,resd"
C0034618,TREATS,C0030705,32255.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0003232,28989.0,SemMedDB,topp,antb
C0040732,TREATS,C0030705,24846.0,SemMedDB,topp,"humn,podg"
C1261322,TREATS,C0030705,24782.0,SemMedDB,hlca,"humn,podg"
C0021107,TREATS,C0030705,23629.0,SemMedDB,topp,"humn,podg"
C1532338,TREATS,C0030705,23470.0,SemMedDB,topp,"humn,podg"
C1522577,TREATS,C0030705,23171.0,SemMedDB,hlca,"humn,podg"
C1273869,TREATS,C0030705,21406.0,SemMedDB,hlca,"humn,podg"
C0011900,TREATS,C0030705,20855.0,SemMedDB,hlca,"humn,podg"
C0524865,TREATS,C0030705,20391.0,SemMedDB,topp,"humn,podg"
C0010055,TREATS,C0030705,19588.0,SemMedDB,topp,"humn,podg"
C0017118,USES,C0183336,19428.0,SemMedDB,topp,medd
C0040808,TREATS,C0030705,19380.0,SemMedDB,"resa,topp","humn,podg"
C0087111,TREATS,C0012634,18232.0,SemMedDB,topp,dsyn
C0087111,USES,C1136254,17742.0,SemMedDB,topp,phsu
C0679670,USES,C0220905,16582.0,SemMedDB,popg,rnlw
C0087111,USES,C1420485|1917,16453.0,SemMedDB,topp,aapp
C0087111,TREATS,C0008059,15614.0,SemMedDB,topp,"aggp,humn"
C0087111,USES,C0001551,15477.0,SemMedDB,topp,"imft,phsu"
C1511790,TREATS,C0030705,13482.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0021641,13106.0,SemMedDB,topp,"aapp,gngm,phsu"
C0003232,TREATS,C0030705,12664.0,SemMedDB,antb,"humn,podg"
C0021107,USES,C0038257,12398.0,SemMedDB,topp,medd
C0032042,TREATS,C0030705,12148.0,SemMedDB,"medd,topp","humn,podg"
C0015252,TREATS,C0030705,11852.0,SemMedDB,topp,"humn,podg"
C0936012,USES,C0026336,11848.0,SemMedDB,resa,"inpr,resd"
C0086511,TREATS,C0030705,11802.0,SemMedDB,topp,"humn,podg"
C0040808,USES,C0013227,11633.0,SemMedDB,"resa,topp",phsu
C0022885,USES,C0667477|8792,11281.0,SemMedDB,lbpr,aapp
C0008562,USES,C1511790,11219.0,SemMedDB,lbpr,topp
C0019004,TREATS,C0030705,10973.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0001617,10467.0,SemMedDB,topp,"horm,phsu"
C0035139,TREATS,C0030705,10399.0,SemMedDB,topp,"humn,podg"
C1510438,USES,C0024075,10382.0,SemMedDB,lbpr,aapp
C0087111,TREATS,C0006826,10343.0,SemMedDB,topp,neop
C0040508,TREATS,C0030705,10272.0,SemMedDB,topp,"humn,podg"
C1515075,USES,C0042866,10041.0,SemMedDB,topp,phsu
C0015259,TREATS,C0030705,9928.0,SemMedDB,dora,"humn,podg"
C0087111,TREATS,C1457887,9887.0,SemMedDB,topp,sosy
C0547070,TREATS,C0030705,9763.0,SemMedDB,topp,"humn,podg"
C0221192,TREATS,C0030705,9641.0,SemMedDB,prog,podg
C0087111,USES,C0003289,9274.0,SemMedDB,topp,phsu
C0013227,TREATS,C0012634,9028.0,SemMedDB,phsu,dsyn
C0001617,TREATS,C0030705,8926.0,SemMedDB,"horm,orch,phsu","humn,podg"
C0206058,TREATS,C0030705,8658.0,SemMedDB,topp,"humn,podg"
C1510438,USES,C1522485,8579.0,SemMedDB,lbpr,irda
C0087111,TREATS,C0034693,8450.0,SemMedDB,topp,mamm
C0009429,TREATS,C0030705,8318.0,SemMedDB,topp,"humn,podg"
C0008972,USES,C0087111,8270.0,SemMedDB,resa,topp
C0194810,TREATS,C0030705,8221.0,SemMedDB,topp,"humn,podg"
C0031831,TREATS,C0030705,8192.0,SemMedDB,prog,podg
C0087111,USES,C0040615,8142.0,SemMedDB,topp,phsu
C1510438,USES,C0016263,8052.0,SemMedDB,lbpr,lbpr
C0087111,TREATS,C0043210,8044.0,SemMedDB,topp,"humn,popg"
C0087111,USES,C0011777,8019.0,SemMedDB,topp,phsu
C0087111,USES,C0030054,7889.0,SemMedDB,topp,"elii,phsu"
C1510438,USES,C0009407,7721.0,SemMedDB,lbpr,lbpr
C0220825,TREATS,C0030705,7706.0,SemMedDB,hlca,"humn,podg"
C0038257,TREATS,C0030705,7643.0,SemMedDB,medd,"humn,podg"
C0019993,TREATS,C0030705,7542.0,SemMedDB,hlca,"humn,podg"
C0679083,USES,C0026336,7533.0,SemMedDB,resa,"inpr,resd"
C0013931,TREATS,C0030705,7378.0,SemMedDB,topp,"humn,podg"
C0008976,USES,C0087111,7337.0,SemMedDB,resa,topp
C1510438,USES,C1328856,7332.0,SemMedDB,lbpr,lbpr
C0007585,USES,C0669365|4846,7230.0,SemMedDB,lbpr,aapp
C0003506,TREATS,C0030705,7224.0,SemMedDB,topp,"humn,podg"
C0017118,TREATS,C0030705,7218.0,SemMedDB,topp,"humn,podg"
C0019144,TREATS,C0030705,7213.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0032042,7204.0,SemMedDB,topp,medd
C0543467,TREATS,C0008059,7162.0,SemMedDB,topp,"aggp,humn"
C1261322,USES,C0041618,7052.0,SemMedDB,hlca,diap
C0087111,TREATS,C0026809,6994.0,SemMedDB,topp,mamm
C0021102,TREATS,C0030705,6973.0,SemMedDB,medd,"humn,podg"
C0013216,USES,C0008838,6890.0,SemMedDB,topp,"inch,phsu"
C0003893,TREATS,C0030705,6840.0,SemMedDB,topp,"humn,podg"
C0936012,USES,C0162789,6772.0,SemMedDB,resa,"lbpr,mbrt"
C0021107,USES,C0021102,6756.0,SemMedDB,topp,medd
C1533685,TREATS,C0030705,6568.0,SemMedDB,topp,"humn,podg"
C0008838,TREATS,C0030705,6562.0,SemMedDB,"inch,phsu","humn,podg"
C0021641,TREATS,C0030705,6541.0,SemMedDB,"aapp,horm,phsu","humn,podg"
C0022671,TREATS,C0030705,6509.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0010592,6498.0,SemMedDB,topp,"aapp,phsu"
C1273869,TREATS,C0008059,6471.0,SemMedDB,hlca,"aggp,humn"
C0013216,TREATS,C0006142,6435.0,SemMedDB,topp,neop
C0035110,TREATS,C0030705,6428.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0001962,6344.0,SemMedDB,topp,"orch,phsu"
C0004057,TREATS,C0030705,6334.0,SemMedDB,"orch,phsu","humn,podg"
C0025677,TREATS,C0030705,6319.0,SemMedDB,"orch,phsu","humn,podg"
C0010042,USES,C0669365|4846,6317.0,SemMedDB,topp,aapp
C0393022,TREATS,C0030705,6238.0,SemMedDB,"aapp,imft,phsu","humn,podg"
C0006779,USES,C0162621,6232.0,SemMedDB,lbpr,lbpr
C0220908,TREATS,C0030705,6229.0,SemMedDB,hlca,"humn,podg"
C0011946,TREATS,C0030705,6223.0,SemMedDB,topp,"humn,podg"
C0085162,TREATS,C0030705,6197.0,SemMedDB,topp,"humn,podg"
